CLAUSE #,P OR C,IBR,FILL-IN,$$,UCF,FP SUP,CR SUP,FP R&D,CR R&D,FP SVC,CR SVC,FP CON,CR CON,T&M LH,LMV,COM SVC,DDR,A&E,FAC,IND DEL,TRN,UTL SVC
3.2.4-8,C,,X,,I,,A,,A,,A,,,,,A,A,,,A,A,
3.2.4-9,C,X,,,I,,A,,A,,A,,A,,,A,,,,A,A,
3.2.4-10,C,X,,,I,,A,,A,,A,,A,,,A,A,A,,A,A,
3.2.4-11,C,X,,,I,,,,,,,,,,,,,,A,,,
3.2.4-11 Alternate I,C,X,,,I,,,,,,,,,,,,,,A,,,
3.2.4-12,C,X,,,I,,,,,,,,,,,,,,A,,,
3.2.4-13,C,X,,,I,,,,A,,,,,,,,,,,,,
3.2.4-14,C,,X,,I,A,,A,,A,,A,,,A,A,A,A,,A,,
3.2.4-14 Alternate I,C,X,,,I,A,,,,A,,,,,A,A,,,,A,,
3.2.4-15,C,X,X,,I,A,,A,,A,,A,,,A,A,A,A,,A,,
3.2.4-15 Alternate I,C,X,,,I,A,,A,,A,,,,,A,A,,,,A,,
3.2.4-16,C,,X,,I,,,,,,,,,,,,,,,A,,
3.2.4-16 Alternate I,C,X,,,I,,,,,,,,,,,,,,,A,,
3.2.4-17,C,,X,,I,,,,,,,,,,,,,,,A,,
3.2.4-18,C,,X,,I,,,,,,,,,,,,,,,A,,
3.2.4-19 Alternate I,C,X,,,I,,,,,,,,,,,,,,,A,,
3.2.4-19,C,,X,,I,,,,,,,,,,,,,,,A,,
3.2.4-19 Alternate II,C,X,,,I,,,,,,,,,,,,,,,A,,
3.2.4-19 Alternate III,C,X,,,I,,,,,,,,,,,,,,,A,,
3.2.4-19 Alternate IV,C,X,,,I,,,,,,,,,,,,,,,A,,
3.2.4-20,C,,X,,I,,,,,,,,,,,,,,,A,,
3.2.4-21,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.4-22,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.4-23,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.4-24,C,X,,,I,,O,,O,,O,,O,,,O,O,O,O,O,,
3.2.4-25,P,X,,X,L,,,,,,,,,,,,,,,A,,
3.2.4-26,P,X,,X,L,,,,,,,,,,,,,,,A,,
3.2.4-27,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.4-28,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.4-28 Alternate I,C,X,,,I,,,,,,,,,,,,,,,A,,
3.2.4-29,P,X,,,M,A,A,,,A,A,,,A,A,,,,,A,A,
3.2.4-30,P,X,,,M,A,A,,,A,A,,,A,A,,,,,A,A,
3.2.4-31,P,X,,,M,A,A,,,A,A,,,A,A,,,,,A,A,
3.2.4-32,C,,X,,I,A,A,,,,,,,,A,,,,,A,,
3.2.4-33,C,,X,,I,A,A,,,,,,,,A,,,,,A,,
3.2.4-34,C,,,,I,,,,,R,R,,,R,,R,,,,A,A,
3.2.4-35,C,,X,,I,,,,,A,A,,,A,,,,,,A,A,
3.2.4-36,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
3.2.5-1,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.5-2,P,X,,,K,A,,A,,A,,A,,,A,A,A,A,A,A,A,A
3.2.5-3,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.5-4,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.5-5,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.5-6,C,X,,,I,O,O,,,O,O,,,,,,,,,O,,O
3.2.5-6 Alternate I,C,X,,,I,O,,,,O,,,,,,,,,,O,,O
3.2.5-7,C,,,X,H,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.5-8,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.5-9,,,,,,,,,,,,,,,,,,,,,,
3.2.5-10,,,,,,,,,,,,,,,,,,,,,,
3.2.5-11,,,,,,,,,,,,,,,,,,,,,,
